                     List of relations
 Schema |            Name             |   Type   |  Owner   
--------+-----------------------------+----------+----------
 public | Activity                    | table    | postgres
 public | Agent                       | table    | postgres
 public | Alert                       | table    | postgres
 public | AlertHistory                | table    | postgres
 public | ApiKey                      | table    | postgres
 public | AppPage                     | table    | postgres
 public | Authenticator               | table    | postgres
 public | BusinessMetric              | table    | postgres
 public | Canvas                      | table    | postgres
 public | CanvasWidget                | table    | postgres
 public | Collection                  | table    | postgres
 public | Comment                     | table    | postgres
 public | Connection                  | table    | postgres
 public | Dashboard                   | table    | postgres
 public | DashboardCard               | table    | postgres
 public | DashboardVersion            | table    | postgres
 public | DataApp                     | table    | postgres
 public | Dataflow                    | table    | postgres
 public | DataflowRun                 | table    | postgres
 public | DataflowStep                | table    | postgres
 public | Dimension                   | table    | postgres
 public | JobExecution                | table    | postgres
 public | Metric                      | table    | postgres
 public | ModelDefinition             | table    | postgres
 public | Pipeline                    | table    | postgres
 public | PushSubscription            | table    | postgres
 public | QualityRule                 | table    | postgres
 public | QueryFeed                   | table    | postgres
 public | QueryVersion                | table    | postgres
 public | RLSPolicy                   | table    | postgres
 public | RawData                     | table    | postgres
 public | SavedQuery                  | table    | postgres
 public | ShareLink                   | table    | postgres
 public | Story                       | table    | postgres
 public | SystemSetting               | table    | postgres
 public | Theme                       | table    | postgres
 public | User                        | table    | postgres
 public | VirtualMetric               | table    | postgres
 public | VirtualRelationship         | table    | postgres
 public | Workspace                   | table    | postgres
 public | WorkspaceConnection         | table    | postgres
 public | WorkspaceDashboard          | table    | postgres
 public | WorkspaceMember             | table    | postgres
 public | _prisma_migrations          | table    | postgres
 public | activity_logs               | table    | postgres
 public | collection_items            | table    | postgres
 public | collections                 | table    | postgres
 public | column_metadata             | table    | postgres
 public | column_metadata_id_seq      | sequence | postgres
 public | column_permissions          | table    | postgres
 public | column_permissions_id_seq   | sequence | postgres
 public | connections                 | table    | postgres
 public | data_classifications        | table    | postgres
 public | data_classifications_id_seq | sequence | postgres
 public | encryption_key_rotations    | table    | postgres
 public | encryption_keys             | table    | postgres
 public | notifications               | table    | postgres
 public | rate_limit_configs          | table    | postgres
 public | roles                       | table    | postgres
 public | roles_id_seq                | sequence | postgres
 public | saved_queries               | table    | postgres
 public | scheduler_jobs              | table    | postgres
 public | semantic_dimensions         | table    | postgres
 public | semantic_metrics            | table    | postgres
 public | semantic_models             | table    | postgres
 public | semantic_relationships      | table    | postgres
 public | share_permissions           | table    | postgres
 public | share_permissions_id_seq    | sequence | postgres
 public | shares                      | table    | postgres
 public | users                       | table    | postgres
 public | visual_queries              | table    | postgres
 public | webhook_logs                | table    | postgres
 public | webhooks                    | table    | postgres
 public | workspace_members           | table    | postgres
 public | workspaces                  | table    | postgres
(75 rows)

